timestamp_ms,eeg_value,alpha_power,beta_power,theta_power,alpha_beta_ratio,signal_variance,attention_index
243238,557.0,0.08111581395397122,0.3834314887179536,0.023666730354278142,0.2115523016254901,3.1164,3.6592719901703776
243242,558.0,0.08144801342163972,0.38243295451388726,0.02359978096022597,0.2129733132574016,3.1111039999999996,3.6405268310238283
243246,556.0,0.08181505394808512,0.38144945039930944,0.023545482111567394,0.2144846554699171,3.1056640000000004,3.6203861927690983
243250,553.0,0.08221670320959534,0.380483014213227,0.02350331708697163,0.2160850816943964,3.1480959999999993,3.5989343760200376
243254,557.0,0.08265222854025234,0.3795359578770475,0.02347289428136385,0.21777179954851056,3.148684,3.5762727195357615
243258,560.0,0.08312056994172298,0.378610789104785,0.02345390943342193,0.21954094371758218,3.1588959999999995,3.5525131233243417
243262,558.0,0.0836210702164516,0.37770901880761315,0.023446094659978607,0.22139018676449493,3.1480959999999993,3.5277434636480014
243266,560.0,0.08415319691723096,0.3768319787813058,0.02344915137631661,0.22331755704329226,3.1480959999999993,3.5020469600377906
243270,555.0,0.08471629239338152,0.3759813050571772,0.02346288055277064,0.2253204913486279,3.1612639999999996,3.475510297476839
243274,560.0,0.08530973332545681,0.37515845772607004,0.023487120414568054,0.2273965349003208,3.1582840000000005,3.4482156111509363
243278,560.0,0.08593251570336646,0.37436501586109816,0.02352132801692126,0.22954205671624583,3.1637560000000002,3.420269063814018
243282,555.0,0.08658347652321363,0.3736026401101501,0.023564955161228744,0.23175284975953606,3.166896,3.391780006459335
243286,557.0,0.08726163485526142,0.3728731230289742,0.02361806715060483,0.23402500600312975,3.156684,3.3628315503381914
243290,561.0,0.08796612812718019,0.37217781964818253,0.023680909727203346,0.2363551063046531,3.165036,3.33349180872837
243294,562.0,0.088695931610058,0.37151756339274833,0.02375314188074567,0.23873953844893583,3.2017759999999997,3.3038445583864524
243298,560.0,0.08944969143041365,0.37089348511469267,0.023834586133702998,0.2411735310010981,3.212416,3.273977811501377
243302,558.0,0.09022586564205812,0.37030688999684086,0.023925493924291216,0.2436515983886442,3.2017759999999997,3.2439705267906054
243306,560.0,0.09102285806489778,0.36975870382126963,0.024024964310014524,0.24616826358439292,3.1983159999999997,3.2139286277640307
243310,557.0,0.09183901704311848,0.36924977408963305,0.024131813768480625,0.24871786927843897,3.184876,3.1839608938268307
243314,559.0,0.09267275853231682,0.3687809029778244,0.02424515250443567,0.2512948956521467,3.1611359999999995,3.154159576990083
243318,558.0,0.09352261793966805,0.36835286243900556,0.024364370745356363,0.25389409850223216,3.1611359999999995,3.124600449526528
243322,559.0,0.09438702148987108,0.3679662751261221,0.02448930360996154,0.25650997895804306,3.1538999999999997,3.0953445059190705
243326,559.0,0.0952643914841871,0.3676219537258243,0.024619274323291758,0.2591368402204731,3.1427959999999993,3.0664635151603403
243330,559.0,0.09615312890306972,0.367320626295264,0.02475377253486293,0.26176893433089915,3.1427959999999993,3.0380200295166473
243334,558.0,0.09705147522756559,0.36706257112680846,0.02489273350442597,0.2644003580360619,3.142,3.010061444345307
243338,557.0,0.09795763106987165,0.3668482528907053,0.02503619273346746,0.26702493550938644,3.1420000000000003,2.9826316388506906
243342,557.0,0.09886998165588148,0.36667805641410334,0.025183984855871366,0.26963702879515616,3.137196,2.9557708709660133
243346,558.0,0.09978687787500806,0.3665519100365897,0.025335778253483095,0.2722312314920067,3.1267959999999992,2.929517258192748
243350,559.0,0.10070663400860447,0.3664697101092525,0.025491303789555955,0.2748020674848725,3.124384,2.9039048703831045
243354,553.0,0.10162753984361297,0.3664312190247899,0.025650288248930873,0.27734410870908255,3.1651359999999995,2.878964431997751
243358,560.0,0.10254767006911417,0.366435842083296,0.02581251276890717,0.2798516364722959,3.1755839999999997,2.8547247227045305
243362,555.0,0.10346511858545701,0.36648319043582056,0.025977708720823285,0.28231886560040215,3.186656,2.831214110879737
243366,566.0,0.10437797458083488,0.36657290456546443,0.02614548718017484,0.2847400156445402,3.321196,2.80846133835556
243370,557.0,0.1052842362726576,0.3667045184119806,0.026315399367777506,0.2871091873331492,3.311584,2.78649503953694
243374,560.0,0.10618209422773674,0.3668774131760826,0.0264872006164157,0.2894211810656621,3.307564,2.765332010508101
243378,554.0,0.1070697935771665,0.3670906962148004,0.026660790453078197,0.29167122643314125,3.331584,2.7449812912690783
243382,554.0,0.10794558935172885,0.36734362477793525,0.026836483790172682,0.2938545331145561,3.344364,2.7254433083833214
